FTHG,FTAG,HomeStreak5,AwayStreak5,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3,Result_is_A,Result_is_D,Result_is_H
0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0
0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
0.2857142857142857,0.14285714285714285,0.2,0.0,0.2,0.0,0.03260869565217391,0.01098901098901099,0.0,0.06666666666666667,0.020833333333333332,0.02197802197802198,0.010869565217391304,0.02040816326530612,0.01639344262295082,0.0,0.029850746268656716,0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.02197802197802198,0.043478260869565216,0.030612244897959183,-0.01639344262295082,-0.01639344262295082,0.0,0,0,0,0,0,1,0
0.14285714285714285,0.0,0.0,0.2,0.0,0.2,0.010869565217391304,0.03296703296703297,0.16666666666666666,0.2,0.041666666666666664,0.03296703296703297,0.021739130434782608,0.02040816326530612,0.0,0.01639344262295082,-0.029850746268656716,0,0,0,0,0,0,1
0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.021739130434782608,0.0,-0.03278688524590164,-0.03278688524590164,0.0,0,0,0,0,1,0,0
0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.16666666666666666,0.0,0.010416666666666666,0.03296703296703297,0.0,0.0,0.0,-0.03278688524590164,0.014925373134328358,0,0,0,0,0,0,1
0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.010869565217391304,0.01098901098901099,0.16666666666666666,0.06666666666666667,0.020833333333333332,0.02197802197802198,0.021739130434782608,0.02040816326530612,0.0,0.0,0.0,0,0,0,0,1,0,0
0.42857142857142855,0.14285714285714285,0.2,0.0,0.2,0.0,0.03260869565217391,0.01098901098901099,0.0,0.06666666666666667,0.020833333333333332,0.02197802197802198,0.010869565217391304,0.030612244897959183,0.03278688524590164,0.0,0.029850746268656716,0,0,0,0,0,0,1
0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.06666666666666667,0.020833333333333332,0.02197802197802198,0.043478260869565216,0.01020408163265306,-0.04918032786885246,0.0,-0.014925373134328358,0,0,0,0,0,0,1
0.0,0.14285714285714285,0.0,0.2,0.0,0.2,0.010869565217391304,0.03296703296703297,0.16666666666666666,0.2,0.041666666666666664,0.01098901098901099,0.0,0.0,0.0,0.04918032786885246,-0.029850746268656716,0,0,0,0,1,0,0
0.2857142857142857,0.0,0.2,0.2,0.2,0.2,0.03260869565217391,0.03296703296703297,0.0,0.2,0.020833333333333332,0.0,0.0,0.02040816326530612,0.03278688524590164,0.03278688524590164,0.0,0,0,0,0,0,0,1
0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.010869565217391304,0.01098901098901099,0.16666666666666666,0.06666666666666667,0.03125,0.04395604395604396,0.043478260869565216,0.030612244897959183,-0.01639344262295082,-0.01639344262295082,0.0,0,0,0,0,0,0,1
0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.06666666666666667,0.03125,0.04395604395604396,0.043478260869565216,0.01020408163265306,-0.04918032786885246,-0.01639344262295082,-0.014925373134328358,0,0,0,0,1,0,0
0.14285714285714285,0.0,0.0,0.4,0.0,0.4,0.010869565217391304,0.06593406593406594,0.16666666666666666,0.4,0.0625,0.02197802197802198,0.043478260869565216,0.030612244897959183,-0.01639344262295082,0.06557377049180328,-0.07462686567164178,0,0,0,0,0,0,1
