season,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3
1112,1,1,D,0,2,28,0,2,1,6,1,6,4,0,5,3,-2,4,-5,0,0,0,0
1112,3,2,H,1,2,29,1,2,3,6,0,6,4,2,4,4,0,2,-3,0,0,0,0
1112,1,1,D,0,0,30,0,0,1,1,1,1,0,1,2,1,-1,-1,0,0,0,0,0
1112,1,3,A,0,0,31,0,0,1,1,1,1,4,7,5,1,-4,-3,0,0,0,0,0
1112,1,0,H,0,0,32,0,0,2,0,2,0,2,6,6,4,-2,-4,2,0,0,0,0
1112,0,0,D,2,2,33,2,2,6,6,0,6,5,2,3,6,3,3,0,0,0,0,0
1112,2,1,H,2,1,34,2,1,7,4,1,4,6,5,3,5,2,1,3,0,0,0,0
1112,0,0,D,2,2,35,2,2,6,7,0,7,5,1,5,6,1,4,-1,0,0,0,0
1112,1,1,D,1,2,36,1,2,4,7,1,7,6,2,3,1,-2,4,-3,0,0,0,0
1112,2,1,H,1,2,37,1,2,4,7,1,7,7,3,4,4,0,4,-3,0,0,0,0
1112,0,0,D,1,2,38,1,2,4,6,1,6,7,6,5,5,0,1,-2,0,0,0,0
1112,0,1,A,1,0,39,1,0,3,2,0,2,2,3,8,3,-5,-1,1,0,0,0,0
1112,3,0,H,0,1,40,0,1,2,3,2,3,3,4,2,1,-1,-1,-1,0,0,0,0
1112,0,3,A,1,2,41,0,2,4,7,1,7,6,3,8,7,-1,3,-3,0,0,0,0
