season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,winner,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints
1112,2011-10-02,Udinese,Bologna,2,0,H,2,0,50,2,0,8,1,Udinese,2,1,2,8,1,5,4,-6,7
1112,2011-10-15,Catania,Inter,2,1,H,1,1,51,1,0,6,4,Catania,3,4,7,11,7,5,-2,-4,2
1112,2011-10-15,Milan,Palermo,3,0,H,1,3,52,0,2,5,10,Milan,2,10,9,6,8,5,-3,3,-5
1112,2011-10-15,Napoli,Parma,1,2,A,3,2,53,2,1,10,6,Parma,1,6,6,10,3,9,6,-4,4
1112,2011-10-16,Atalanta,Udinese,0,0,D,3,3,54,2,2,10,11,noone,1,11,7,1,7,8,1,6,-1
1112,2011-10-16,Cagliari,Siena,0,0,D,3,1,55,2,0,10,5,noone,1,5,4,4,5,8,3,0,5
1112,2011-10-16,Cesena,Fiorentina,0,0,D,0,2,56,0,2,1,7,noone,1,7,6,4,7,2,-5,2,-6
1112,2011-10-16,Chievo,Juventus,0,0,D,2,3,57,1,2,8,11,noone,2,11,9,3,5,6,1,6,-3
1112,2011-10-16,Genoa,Lecce,0,0,D,2,1,58,2,1,7,3,noone,1,3,3,9,8,9,1,-6,4
1112,2011-10-16,Lazio,Roma,2,1,H,2,2,59,1,0,8,8,Lazio,2,8,6,4,6,7,1,2,0
1112,2011-10-16,Novara,Bologna,0,2,A,1,0,60,1,0,5,1,Bologna,2,1,2,10,10,10,0,-8,4
1112,2011-10-22,Fiorentina,Catania,2,2,D,2,1,61,2,1,8,9,noone,1,6,7,8,4,6,2,-1,-1
1112,2011-10-22,Juventus,Genoa,2,2,D,3,2,62,2,2,12,8,noone,2,7,9,8,3,9,6,1,4
1112,2011-10-23,Bologna,Lazio,0,2,A,0,2,63,0,1,4,11,Lazio,1,8,9,7,10,4,-6,2,-7
1112,2011-10-23,Cagliari,Napoli,0,0,D,3,3,64,2,2,11,10,noone,1,10,10,5,5,8,3,5,1
1112,2011-10-23,Inter,Chievo,1,0,H,1,2,65,0,1,4,9,Inter,1,8,6,5,13,8,-5,1,-5
1112,2011-10-23,Lecce,Milan,3,4,A,1,1,66,1,0,4,8,Milan,0,5,8,8,9,3,-6,0,-4
1112,2011-10-23,Parma,Atalanta,1,2,A,2,3,67,1,2,9,11,Atalanta,0,10,8,7,11,8,-3,1,-2
